JW_ID	ECK number	B number	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	Yield(uM)	Yield(ug/ml)	Minus Sol	TF Sol	GroE Sol	KJE Sol	Minus(uM)	TF(uM)	GroE(uM)	KJE(uM)	Minus(ug/ml)	TF(ug/ml)	GroE(ug/ml)	KJE(ug/ml)	Calculated MW(kDa)	Calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW0865	ECK0872	b0881	clpS	clpS	yljA	63	1.7	21													12.2	6.3	r	regulatory protein for ClpA substrate specificity	Cytoplasmic	1MBX	
JW0866	ECK0873	b0882	clpA	clpA	lopD	61	0.5	45													84.1	6.2	e	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity	Cytoplasmic	1R6B	52540; P-loop containing nucleotide triphosphate hydrolases
JW0867	ECK0875	b0884	infA	infA	bypA1	94	2.5	20													8.2	10.1	f	translation initiation factor IF-1	Cytoplasmic	1AH9	50249; Nucleic acid-binding proteins
JW0868	ECK0876	b0885	aat	aat	ycaA	8	0.8	21	6.14	12.51	84.29	25.23	4.37	3.451	3.57	3.777	116.23	91.79	94.96	100.44	26.596	7.54	e	leucyl/phenylalanyl-tRNA-protein transferase	Cytoplasmic		
JW0869	ECK0877	b0886	cydC	cydC	mdrA -!- mdrH -!- surB -!- ycaB	10	0.4	24													62.9	9.3	t	fused cysteine transporter subunits membrane component and ATP-binding component of ABC superfamily	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW0871	ECK0879	b0888	trxB	trxB		105	3.2	109													34.6	5.9	e	thioredoxin reductase, FAD/NAD(P)-binding	Cytoplasmic	1CL0	51905; FAD/NAD(P)-binding domain
JW0872	ECK0880	b0889	lrp	lrp	ihb -!- livR -!- lrs -!- lss -!- lstR -!- mbf -!- oppI -!- rblA -!- alsB	37	1.7	32													18.9	9.5	r	DNA-binding transcriptional dual regulator, leucine-binding	Cytoplasmic		46785; Winged helix 69732; Lrp/AsnC-like transcriptional regulator C-terminal domain
JW0873	ECK0881	b0890	ftsK	ftsK	dinH	15	0.1	9													146.5	4.8	cp	DNA-binding membrane protein required for chromosome resolution and partitioning	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW0874	ECK0882	b0891	lolA	lolA	lplA -!- yzzV	71	2.1	47													22.6	7.9	f	chaperone for lipoproteins	Periplasmic	1UA8	
JW0875	ECK0883	b0892	ycaJ	ycaJ		92	0.7	33													49.6	6.6	cp	recombination protein	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0876	ECK0884	b0893	serS	serS		28	0.7	34	21.32	24.96	67.27	66.09	1.983	1.523	3.058	4.335	95.87	73.62	147.88	209.61	48.355	5.73	e	seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine	Cytoplasmic		46589; A class II aminoacyl-tRNA synthetase N-domain 55681; Class II aaRS and biotin synthetases
JW5118	ECK0885	b0894	dmsA	dmsA		23	0.4	39													90.3	6.8	e	dimethyl sulfoxide reductase, anaerobic, subunit A	Periplasmic		50692; ADC-like 53706; Formate dehydrogenase/DMSO reductase, domains 1-3
JW0878	ECK0886	b0895	dmsB	dmsB		28	1	24	13.53	34.64	48.9	109.79	4.08	3.703	3.754	3.077	93.22	84.6	85.77	70.3	22.847	6.85	e	dimethyl sulfoxide reductase, anaerobic, subunit B	Cytoplasmic		54862; 4Fe-4S ferredoxins
JW0880	ECK0888	b0897	ycaC	ycaC		51	1.2	27													23.1	6.2	pe	predicted hydrolase	Cytoplasmic	1YAC	52499; Cysteine hydrolase
JW0883	ECK0891	b0900	ycaN	ycaN		15	0.6	20	6.45	4.48	24.39	26.39	1.322	3.602	4.572	2.853	45.29	123.4	156.64	97.73	34.258	6.93	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		46785; Winged helix 53850; Periplasmic binding protein-like II
JW0884	ECK0892	b0901	ycaK	ycaK		96	0.6	13													23	6	d	conserved protein	Cytoplasmic		52218; Flavoproteins
JW0885	ECK0893	b0902	pflA	pflA	act	95	0.4	11													28.2	6.6	e	pyruvate formate lyase activating enzyme 1	Cytoplasmic		
JW0886	ECK0894	b0903	pflB	pflB	pfl	31	0.4	33													85.3	6	e	pyruvate formate lyase I	Cytoplasmic	1MZO	51998; PFL-like glycyl radical enzymes
JW5425	ECK2649	b2654	ygaQ	ygaQ	ygaR -!- yqaC -!- yqaD	89	1.1	13													12.4	8.6	o	predicted protein	Cytoplasmic		
JW0889	ECK0897	b0906	ycaP	ycaP		27	0.9	23													26.3	7.2	pm	conserved inner membrane protein	Integral Membrane Protein		
JW0890	ECK0898	b0907	serC	serC	pdxC -!- pdxF	17	0.8	30	3.05	4.21	59.49	14.92	5.315	4.748	6.06	5.017	211.19	188.67	240.78	199.37	39.736	6.09	e	3-phosphoserine/phosphohydroxythreonine aminotransferase	Cytoplasmic	1BJO	53383; PLP-dependent transferases
JW0891	ECK0899	b0908	aroA	aroA		61	1.1	51													46	6	e	5-enolpyruvylshikimate-3-phosphate synthetase	Cytoplasmic		55205; EPT/RTPC-like
JW0892	ECK0900	b0909	ycaL	ycaL		24	1	26													26.7	8	pf	predicted peptidase with chaperone function	Outer Membrane Lipoprotein		
JW0893	ECK0901	b0910	cmk	cmk	mssA -!- ycaG -!- ycaF	86	1.1	26													24.7	6.4	e	cytidylate kinase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0894	ECK0902	b0911	rpsA	rpsA	ssyF -!- rps	87	0.4	24													61.1	4.8	s	30S ribosomal subunit protein S1	Cytoplasmic		50249; Nucleic acid-binding proteins
JW0895	ECK0903	b0912	ihfB	ihfB	himD -!- hip	23	2.3	24	11.43	21.06	10.97	117.27	10.797	10.657	11.916	12.464	114.95	113.45	126.86	132.69	10.646	10.09	r	integration host factor (IHF), DNA-binding protein, beta subunit	Cytoplasmic	1OWG	47729; IHF-like DNA-binding proteins
JW0897	ECK0905	b0914	msbA	msbA		12	0.4	24													64.4	9.1	t	fused lipid transporter subunits membrane component and ATP-binding component of ABC superfamily	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW0898	ECK0906	b0915	lpxK	lpxK	ycaH	31	0.5	19													35.6	8.8	e	lipid A 4'kinase	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW0899	ECK0907	b0916	ycaQ	ycaQ		6	0.6	28	2.03	3.59	44.19	14.36	2.04	2.118	2.29	2.64	97.13	100.84	109.03	125.74	47.621	8.77	o	conserved protein	Cytoplasmic		
JW0901	ECK0909	b0918	kdsB	kdsB		115	1.5	40													27.6	5.8	e	3-deoxy-manno-octulosonate cytidylyltransferase	Cytoplasmic		53448; Nucleotide-diphospho-sugar transferases
JW0902	ECK0910	b0919	ycbJ	ycbJ		23	1.4	49	3.44	4.09	57.69	14.13	4.779	5.315	5.549	4.451	164.67	183.12	191.17	153.36	34.453	7.56	d	conserved protein	Cytoplasmic		56112; Protein kinase-like (PK-like)
JW0903	ECK0911	b0920	ycbC	ycbC		25	1.7	49													28.6	10	pm	conserved inner membrane protein	Integral Membrane Protein		
JW0905	ECK0913	b0922	mukF	mukF	kicB	76	0.8	42													50.5	4.8	cp	Involved in chromosome partioning, Ca2+ binding protein	Cytoplasmic		
JW0906	ECK0914	b0923	mukE	mukE	kicA -!- ycbA	86	3.5	91													25.9	5.5	cp	protein involved in chromosome partitioning	Cytoplasmic		
JW0908	ECK0916	b0925	ycbB	ycbB		64	0.1	7													67.7	8.9	pe	predicted carboxypeptidase	Periplasmic		47090; PGBD-like
JW0909	ECK0917	b0926	ycbK	ycbK		11	2.6	53													20.4	10.9	d	conserved protein	Periplasmic		55166; Hedgehog/DD-pepidase
JW0912	ECK0920	b0929	ompF	ompF	cmlB -!- coa -!- cry -!- tolF	18	2	78													39.3	5.3	t	outer membrane porin 1a (Ia;b;F)	Outer Membrane B-barrel protein	1OPF	56935; Porins
JW0913	ECK0921	b0930	asnS	asnS	lcs -!- tss	70	1.1	57													52.5	5.5	e	asparaginyl tRNA synthetase	Cytoplasmic		50249; Nucleic acid-binding proteins 55681; Class II aaRS and biotin synthetases
JW0914	ECK0922	b0931	pncB	pncB		32	1.1	52													45.9	6.7	e	nicotinate phosphoribosyltransferase	Cytoplasmic		
JW0915	ECK0923	b0932	pepN	pepN		102	0.3	25													98.8	5.2	e	aminopeptidase N	Cytoplasmic		55486; Metalloproteases (zincins), catalytic domain 63737; Leukotriene A4 hydrolase N-terminal domain
JW0916	ECK0924	b0933	ssuB	ssuB	ycbE	24	2.2	61	28.55	41.25	68.76	63.06	2.123	1.765	2.455	1.753	58.82	48.92	68.04	48.57	27.71	8.22	t	alkanesulfonate transporter subunit ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW5121	ECK0925	b0934	ssuC	ssuC	ycbM	7	1.4	42													28.9	10.3	t	alkanesulfonate transporter subunit membrane component of ABC superfamily	Integral Membrane Protein		
JW0919	ECK0927	b0936	ssuA	ssuA	ycbO	76	0.8	27													34.5	9.7	t	alkanesulfonate transporter subunit periplasmic-binding component of ABC superfamily	Periplasmic		53850; Periplasmic binding protein-like II
JW5122	ECK0929	b0938	ycbQ	ycbQ		86	1.2	22													18.7	5.5	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0922	ECK0930	b0939	ycbR	ycbR		29	1.3	34													25.4	10.2	pf	predicted periplasmic pilin chaperone	Periplasmic		49354; PapD-like 49584; Periplasmic chaperone C-domain
JW0923	ECK0931	b0940	ycbS	ycbS		7	0.1	5													95.1	5.8	pf	predicted outer membrane usher protein	Outer Membrane B-barrel protein		
JW0924	ECK0932	b0941	ycbT	ycbT		32	0.8	32													37.8	6	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0925	ECK0933	b0942	ycbU	ycbU		41	1.8	34													18.9	6.3	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW5123	ECK0934	b0943	ycbV	ycbV		47	1.8	33													18.5	6.4	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW5124	ECK0935	b0944	ycbF	ycbF		19	1.6	41													25.8	10.3	pf	predicted periplasmic pilini chaperone	Periplasmic		49354; PapD-like 49584; Periplasmic chaperone C-domain
JW0928	ECK0936	b0945	pyrD	pyrD		13	1	35	9.73	11.16	69.85	64.45	1.138	1.292	1.131	0.929	41.8	47.45	41.54	34.11	36.739	8.17	e	dihydro-orotate oxidase, FMN-linked	Cytoplasmic		51395; FMN-linked oxidoreductases
JW5125	ECK0937	b0946	ycbW	ycbW		38	0.8	17													20.6	6.2	o	predicted protein	Cytoplasmic		
JW5126	ECK0938	b0947	ycbX	ycbX		35	0.8	32													40.6	7.8	pc	predicted 2Fe-2S cluster-containing protein	Cytoplasmic		52343; Ferredoxin reductase-like, C-terminal NADP-linked domain 54292; 2Fe-2S ferredoxin-like
JW0931	ECK0939	b0948	ycbY	ycbY		22	0.1	5	12.09	22.5	52.02	84.63	0.139	0.15	0.112	0.127	10.96	11.78	8.83	9.97	78.79	9.21	pe	predicted methyltransferase	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW5127	ECK0943	b0952	ymbA	ymbA		82	2.5	49													20	6.8	o	conserved protein	Cytoplasmic		
JW0937	ECK0945	b0954	fabA	fabA		66	2.6	49													18.9	7.8	e	beta-hydroxydecanoyl thioester dehydrase	Cytoplasmic	1MKB	54637; Thioesterase/thiol ester dehydrase-isomerase
JW5328	ECK2000	b4538	yoeF	yoeF		14	4.9	63	18.69	32.62	51.6	36.43	4.089	3.628	4.756	4.633	52.98	47.01	61.63	60.03	12.957	7.61	o	conserved protein	Cytoplasmic		52540; P-loop containing nucleoside triphosphate hydrolases
JW0939	ECK0947	b0956	ycbG	ycbG		92	2.8	49													17.7	10.2	o	conserved protein	Cytoplasmic		
JW0940	ECK0948	b0957	ompA	ompA	con -!- tolG -!- tut	11	1.7	64													37.2	7	m	outer membrane protein A (3a;II*;G;d)	Outer Membrane B-barrel protein		56925; Outer membrane protein
JW0941	ECK0949	b0958	sulA	sulA	sfiA -!- suf	61	0.5	10													18.8	8	cp	SOS cell division inhibitor	Cytoplasmic		
JW0942	ECK0950	b0959	yccR	yccR		33	0.5	12													24.1	9.5	o	conserved protein	Cytoplasmic		
JW5129	ECK0954	b0963	mgsA	mgsA	yccG -!- mgs	112	2.1	35													16.9	7	e	methylglyoxal synthase	Cytoplasmic	1IK4	52335; Methylglyoxal synthase-like
JW0947	ECK0955	b0964	yccT	yccT		60	2.4	59													24.6	6.4	o	conserved protein	Periplasmic		
JW5130	ECK0956	b0965	yccU	yccU		138	1.4	21													14.7	8.4	d	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains
JW5131	ECK0959	b0968	yccX	yccX		103	2.8	29													10.3	9.2	pe	predicted acylphosphatase	Cytoplasmic		54975; Acylphosphatase
JW0952	ECK0960	b0969	yccK	yccK		81	1.6	19													12.4	8.4	pe	predicted sulfite reductase subunit	Cytoplasmic		69721; DsrC, the gamma subunit of dissimilatory sulfite reductase
JW0954	ECK0963	b0972	hyaA	hyaA		38	0.3	13													40.6	7.3	e	hydrogenase 1, small subunit	Integral Membrane Protein		56770; Nickel-iron hydrogenase, small subunit
JW0955	ECK0964	b0973	hyaB	hyaB		9	0.2	13													66.2	6	e	hydrogenase 1, large subunit	Periplasmic		56762; Nickel-iron hydrogenase, large subunit
JW0957	ECK0966	b0975	hyaD	hyaD		74	0.4	9													21.5	5.5	f	protein involved in processing of HyaA and HyaB proteins	Cytoplasmic		53163; HybD-like
JW0958	ECK0967	b0976	hyaE	hyaE		100	4.1	61													14.9	5.5	f	protein involved in processing of HyaA and HyaB proteins	Cytoplasmic		52833; Thioredoxin-like
JW0959	ECK0968	b0977	hyaF	hyaF		95	0.4	11													31.4	4.9	f	protein involved in nickel incorporation into hydrogenase-1 proteins	Cytoplasmic		
JW0963	ECK0971	b0980	appA	appA		66	0.2	8													47	7	e	phosphoanhydride phosphorylase	Periplasmic	1DKL	53254; Phosphoglycerate mutase-like
JW0964	ECK0972	b0981	yccC	yccC	etk	41	0.1	8													81.2	6.7	e	cryptic autophosphorylating protein tyrosine kinase Etk	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW5132	ECK0973	b0982	etp	etp	yccY -!- epd	14	2.9	47	21.43	37.21	54.01	96.13	3.63	2.848	3.564	3.611	59.45	46.64	58.37	59.14	16.378	10.01	e	phosphotyrosine-protein phosphatase	Cytoplasmic		52788; Phosphotyrosine protein phosphatases I
JW0966	ECK0974	b0983	yccZ	yccZ		60	0.8	33													41.7	6.9	pt	predicted exopolysaccharide export protein	Outer Membrane Lipoprotein		
JW0968	ECK0976	b0985	ymcB	ymcB		42	1	26													27.3	6.3	o	conserved protein	Periplasmic		
JW0969	ECK0977	b0986	ymcC	ymcC		37	1.9	46													24.2	7.8	pm	predicted outer membrane lipoprotein	Outer Membrane Lipoprotein		
JW5133	ECK0978	b0987	ymcD	ymcD		114	3	29													9.5	8.2	o	predicted protein	Membrane Anchored		
JW5846	ECK2857	b2859	ygeO	ygeO		10	1.3	21	24.4	44.53	71.41	44.49	1.685	1.422	1.752	1.444	27.62	23.3	28.71	23.66	16.39	8.39	o	predicted protein	Cytoplasmic		
JW5134	ECK0979	b0989	cspH	cspH	cspK	103	2	15													7.7	11.1	f	stress protein, member of the CspA-family	Cytoplasmic		50249; Nucleic acid-binding proteins
JW0975	ECK0981	b0991	ymcE	ymcE	gnsA -!- sfa -!- yccL	100	0.7	6													8.7	7.9	f	cold shock gene	Membrane Anchored		
JW0977	ECK0983	b0992	yccM	yccM		13	0.8	34													40.1	10	pc	predicted 4Fe-4S membrane protein	Integral Membrane Protein		54862; 4Fe-4S ferredoxins
JW5135	ECK0984	b0993	torS	torS	yccI	13	0.1	14													100.9	5.6	r	hybrid sensory histidine kinase in two-component regulatory system with TorR	Integral Membrane Protein		47384; Homodimeric domain of signal transducing histidine kinase 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase 47226; Histidine-containing phosphotransfer domain, HPT domain 52172; CheY-like
JW0979	ECK0985	b0994	torT	torT	yccH	13	1	38													37.8	9.6	r	periplasmic sensory protein associated with the TorRS two-component regulatory system	Periplasmic		53822; Periplasmic binding protein-like I
JW0980	ECK0986	b0995	torR	torR		78	1.4	36													26.2	7	r	DNA-binding response regulator in two-component regulatory system with TorS	Cytoplasmic		52172; CheY-like
JW0981	ECK0987	b0996	torC	torC		43	0.3	13													43.6	7.9	c	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit	Periplasmic with N-terminal Membrane Anchor		48695; Multiheme cytochromes
JW0982	ECK0988	b0997	torA	torA		9	0.1	8													94.4	6.7	e	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit	Periplasmic		50692; ADC-like 53706; Formate dehydrogenase/DMSO reductase, domains 1-3
JW0983	ECK0989	b0998	torD	torD		133	1.6	36													22.5	5.4	f	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I	Cytoplasmic		
JW0984	ECK0990	b0999	cbpM	cbpM	yccD	36	1.1	13													11.5	6.3	f	modulator of CbpA co-chaperone	Cytoplasmic		
JW0985	ECK0991	b1000	cbpA	cbpA		61	0.4	13													34.4	7.1	f	curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK	Cytoplasmic		46565; Chaperone J-domain 49493; HSP40/DnaJ peptide-binding domain
JW0986	ECK0992	b1001	yccE	yccE		48	0.3	13													48.3	4.5	o	predicted protein	Cytoplasmic		
JW0987	ECK0993	b1002	agp	agp		62	0.3	11													45.6	6.2	e	glucose-1-phosphatase/inositol phosphatase	Periplasmic	1NT4	53254; Phosphoglycerate mutase-like
JW0989	ECK0995	b1004	wrbA	wrbA		77	2.8	59													20.8	6.9	pr	predicted flavoprotein in Trp regulation	Cytoplasmic		52218; Flavoproteins
JW5136	ECK0996	b4518	ymdF	ymdF		91	11.1	65													5.9	10.7	o	conserved protein	Cytoplasmic		
JW5138	ECK0998	b1007	ycdH	ycdH		16	1.5	26	10.27	23.29	77.55	47.23	1.842	1.546	2.268	1.643	32.66	27.42	40.22	29.12	17.732	7.14	pc	predicted oxidoreductase, flavin:NADH component	Cytoplasmic		50475; FMN-binding split barrel
JW0993	ECK0999	b1008	ycdI	ycdI		10	2.6	56	13.04	20.44	47.06	26.74	2.711	2.342	2.254	2.355	58.42	50.45	48.57	50.74	21.547	7.26	pe	predicted oxidoreductase	Cytoplasmic		55469; NADH oxidase/flavin reductase
JW0994	ECK1000	b1009	rarA	rarA	ycdJ	17	1	29	21.38	28.14	77.26	80.69	1.095	1.131	1.104	0.892	31.61	32.66	31.86	25.76	28.869	6.42	pe	predicted hydrolase	Cytoplasmic		53474; alpha/beta-Hydrolases
JW0995	ECK1001	b1010	ycdK	ycdK		38	1.3	18													13.7	6.9	d	conserved protein	Periplasmic		55298; YjgF-like
JW5139	ECK1002	b1011	ycdL	ycdL		47	1.5	37													25.2	6.4	pe	predicted enzyme	Cytoplasmic		52499; Cysteine hydrolase
JW0997	ECK1003	b1012	ycdM	ycdM		26	0.5	19	10.96	17.28	45.63	107.81	0.747	0.6	0.582	0.465	31.49	25.3	24.55	19.62	42.166	5.72	pe	predicted monooxygenase	Cytoplasmic		51679; Bacterial luciferase-like
JW0998	ECK1004	b1013	ycdC	ycdC		80	0.8	19													23.7	9.6	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		46689; Homeodomain-like
JW1003	ECK1008	b1018	ycdO	ycdO		43	1.4	57													41.1	5.3	o	conserved protein	Periplasmic		
JW1004	ECK1009	b1019	ycdB	ycdB		34	0.8	38													46.7	7.1	o	conserved protein	Periplasmic		
JW1005	ECK1010	b1020	phoH	phoH	psiH	21	0.2	6	67.12	27.51	113.09	93.96	0.105	0.405	0.182	0.193	4.12	15.89	7.13	7.57	39.235	8.57	d	conserved protein with nucleoside triphosphate hydrolase domain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW1006	ECK1011	b1021	ycdP	ycdP	hmsS -!- pgaD	10	2.5	40													16.1	10.1	pm	predicted inner membrane protein	Integral Membrane Protein		
JW1007	ECK1012	b1022	ycdQ	ycdQ	hmsR -!- pgaC	18	0.1	4													50.7	9	pe	predicted glycosyl transferase	Integral Membrane Protein		53448; Nucleotide-diphospho-sugar transferases
JW5459	ECK2855	b2857	ygeM	ygeM		72	1	16													16.7	5.5	o	predicted protein	Cytoplasmic		
JW5142	ECK1013	b1023	ycdR	ycdR	hmsF -!- pgaB	15	0.5	37													77.3	6.2	pe	predicted enzyme associated with biofilm formation	Outer Membrane Lipoprotein		
JW1010	ECK1014	b1024	ycdS	ycdS	hmsH -!- pgaA	7	0.2	16													92.1	6.4	pm	predicted outer membrane protein	Outer Membrane B-barrel protein		48439; Protein prenylyltransferase
JW5619	ECK3702	b3709	tnaB	tnaB		6	2.3	38													16.3	10.3	t	tryptophan transporter of low affinity	Integral Membrane Protein		
JW5145	ECK1016	b1028	ymdE	ymdE		21	3	33	26.96	58.67	30.67	99.52	2.876	3.437	3.251	3.006	32.41	38.72	36.62	33.87	11.267	7.95	su	predicted protein (pseudogene)	Cytoplasmic		52151; Catalytic domain of malonyl-CoA ACP transacylase
JW5146	ECK1019	b1033	ycdW	ycdW		31	0.9	32													35.3	7.1	e	2-ketoacid reductase	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains
JW1017	ECK1020	b1034	ycdX	ycdX		100	1	27													26.9	6.1	pe	predicted zinc-binding hydrolase	Cytoplasmic		
JW1018	ECK1021	b1035	ycdY	ycdY		90	0.4	9													20.7	4.3	o	conserved protein	Cytoplasmic		
JW1020	ECK1023	b1037	csgG	csgG		44	1.5	45													30.5	8.2	lp	outer membrane lipoprotein	Outer Membrane Lipoprotein		
JW1021	ECK1024	b1038	csgF	csgF		30	2.9	44													15	8.2	pt	predicted transport protein	Periplasmic		
JW1022	ECK1025	b1039	csgE	csgE		15	4.3	63													14.9	6.4	pt	predicted  transport protein	Periplasmic		
JW1023	ECK1026	b1040	csgD	csgD		20	2.4	59	25.11	35.78	91.22	126.24	1.983	1.603	1.024	1.723	49.43	39.95	25.52	42.93	24.922	9.84	r	DNA-binding transcriptional activator in two-component regulatory system	Cytoplasmic		46894; C-terminal, effector domain of the bipartite response regulators
JW1025	ECK1028	b1042	csgA	csgA		67	1.8	27													15	6.6	s	cryptic curlin major subunit	Extracellular		
JW1026	ECK1029	b1043	csgC	csgC	ycdE	69	1.5	18													12	8.2	pf	predicted curli production protein	Periplasmic		
JW1031	ECK1030	b1044	ymdA	ymdA		37	2.4	27													11.2	9.6	o	predicted protein	Periplasmic		
JW1032	ECK1031	b1045	ymdB	ymdB		82	1.3	24													18.9	6.4	o	conserved protein	Cytoplasmic	1SPV	
JW5150	ECK1032	b1046	ymdC	ymdC		22	0.2	11	19.06	36.17	85.07	114.97	0.225	0.216	0.222	0.178	12.06	11.6	11.91	9.55	53.623	9.64	pe	predicted hydrolase	Cytoplasmic		56024; Phospholipase D/nuclease
JW1035	ECK1034	b1048	mdoG	mdoG	opgG -!- mdoA	24	0.4	24													57.9	8.1	e	glucan biosynthesis protein, periplasmic	Periplasmic		
JW5628	ECK3685	b4477	dgoA	dgoA	dgoA -!- yidU	32	1.7	36													21.4	6.3	e	2-oxo-3-deoxygalactonate 6-phosphate aldolase	Cytoplasmic		
JW1037	ECK1035	b1049	mdoH	mdoH	mdoA	4	0.1	12													96.9	8.9	e	glucan biosynthesis: glycosyl transferase	Integral Membrane Protein		53448; Nucleotide-diphospho-sugar transferases
JW1039	ECK1037	b1051	msyB	msyB		91	3.1	43													14.2	3.8	o	predicted protein	Cytoplasmic		
JW1041	ECK1039	b1054	lpxL	lpxL	htrB -!- waaM	12	1.5	52													35.4	10.3	e	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	Membrane Anchored		
JW1043	ECK1041	b1056	yceI	yceI		69	1.9	40													20.9	6.7	o	predicted protein	Periplasmic		
JW1044	ECK1042	b1057	yceJ	yceJ		11	0.7	14													20.7	9.7	pc	predicted cytochrome b561	Integral Membrane Protein		
JW0658	ECK0653	b0661	miaB	miaB	yleA	71	1.4	74													53.6	5.5	e	isopentenyl-adenosine A37 tRNA methylthiolase	Cytoplasmic		
JW5844	ECK2752	b2757	ygcI	ygcI		15	0.7	17	9.07	13.4	70.19	32.68	1.106	1.168	1.238	1.126	27.86	29.43	31.19	28.36	25.186	7.84	o	predicted protein	Cytoplasmic		
JW2576	ECK2592	b2594	rluD	rluD	sfhB -!- yfiI	34	1.8	67													37.1	6.7	e	23S rRNA pseudouridine synthase	Cytoplasmic		55174; Alpha-L RNA-binding motif
JW1505	ECK1505	b1512	ydeW	ydeW		19	0.5	16	9.32	36.02	70.78	76	0.613	0.667	0.63	0.617	20.69	22.53	21.26	20.84	33.761	7.26	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		46785; Winged helix
JW0010	ECK0011	b0011	yaaW	yaaW	htgA -!- htpY	64	0.8	22													26.7	10	o	conserved protein	Cytoplasmic		
JW1998	ECK2010	b2016	yeeZ	yeeZ		39	1.1	32													29.6	6	pe	predicted epimerase, with NAD(P)-binding Rossmann-fold domain	Periplasmic		51735; NAD(P)-binding Rossmann-fold domains
JW2421	ECK2423	b2428	yfeU	yfeU		63	2.2	68													31.2	6.6	pt	predicted PTS component	Cytoplasmic		53697; SIS domain
JW2497	ECK2509	b2513	yfgM	yfgM		50	1.3	29													22.1	6.2	d	conserved protein	Membrane Anchored		48452; TPR-like
JW2503	ECK2515	b2519	pbpC	pbpC	yfgN	9	0	4													85	10	e	fused transglycosylase transpeptidase	Periplasmic		56601; beta-Lactamase/D-ala carboxypeptidase
JW2650	ECK2669	b2675	nrdE	nrdE		8	0.8	68	4.51	5.57	19.12	78.14	1.103	1.383	0.636	0.748	88.66	111.19	51.14	60.15	80.397	6.44	e	ribonucleoside-diphosphate reductase 2, alpha subunit	Cytoplasmic		48168; R1 subunit of ribonucleotide reductase, N-terminal domain 51998; PFL-like glycyl radical enzymes
JW2459	ECK2470	b2474	ypfI	ypfI		6	0.3	25	7.1	9.5	50.39	69.42	0.406	0.402	0.45	0.497	30.38	30.07	33.65	37.17	74.827	7.67	pe	predicted hydrolase	Cytoplasmic		52540; P-loop containing nucleoside triphosphate hydrolases 55729; Acyl-CoA N-acyltransferases (Nat)
JW0438	ECK0442	b0448	mdlA	mdlA	mdl	9	0.2	15													65.9	6.5	pt	fused predicted multidrug transporter subunits ATP-binding components of ABC superfamily	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases 52540; P-loop containing nucleotide triphosphate hydrolases
JW5201	ECK1292	b1297	puuA	puuA	ycjK	60	0.6	32													53.1	4.9	e	gamma-Glu-putrescine synthase	Cytoplasmic		54368; Glutamine synthetase, N-terminal domain 55931; Glutamine synthase/guanidino kinase catalytic domain
JW3063	ECK3083	b3092	uxaC	uxaC	homH -!- homh -!- ygjX -!- ygjY -!- ygjZ	8	1.2	65	7.61	12.78	65.49	67.87	1.22	1.186	1.643	1.473	65.81	63.97	88.59	79.45	53.925	5.83	e	uronate isomerase	Cytoplasmic		
JW1314	ECK1317	b1321	ycjX	ycjX		5	0.9	45	8.66	19.88	59.23	82.2	1.018	1.051	1.004	0.904	53.51	55.27	52.76	47.51	52.563	8.43	d	conserved protein with nucleoside triphosphate hydrolase domain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
